Image.x	Image.y	Arr.colx	Arr.rowy	Spot.colx	Spot.rowy	SpotFlag	RefFore	RefBack	DapiFore	DapiBack	LogRatio	Chromosome	PosOrder	ScaledLogRatio
100	59	1	1	8	5	0	1813	405	7844	1094	0.947	10	1324	-0.076
89	59	1	1	7	5	0	1946	401	8751	1109	0.945	10	1324	-0.078
111	59	1	1	9	5	0	1935	407	8365	1055	0.946	10	1324	-0.077
849	61	4	1	7	5	0	1762	405	8045	923	0.974	10	1342	-0.049
871	61	4	1	9	5	0	1733	408	7911	915	0.986	10	1342	-0.037
860	61	4	1	8	5	0	1799	409	8303	933	0.984	10	1342	-0.039
627	59	3	1	10	5	0	1632	417	8382	938	0.945	10	1360	-0.078
649	59	3	1	12	5	0	1643	408	8548	903	0.938	10	1360	-0.085
638	60	3	1	11	5	0	1707	418	8880	902	0.935	10	1360	-0.088
574	311	3	2	5	5	0	1904	395	8283	1043	1.097	10	1345	0.074
562	311	3	2	4	5	0	1921	391	8455	995	1.108	10	1345	0.085
584	311	3	2	6	5	0	1928	398	8301	1054	1.106	10	1345	0.083
111	814	1	4	9	5	0	2735	391	8115	722	1.056	10	1326	0.033
89	814	1	4	7	5	0	2674	393	8110	720	1.076	10	1326	0.053
100	814	1	4	8	5	0	2686	397	8213	723	1.099	10	1326	0.076
853	817	4	4	8	5	0	1435	400	6362	791	1.007	10	1344	-0.016
863	816	4	4	9	5	0	1435	396	6349	796	0.992	10	1344	-0.031
842	816	4	4	7	5	0	1396	401	6223	801	0.975	10	1344	-0.048
625	815	3	4	10	5	0	1731	399	6777	969	1.013	10	1362	-0.01
636	815	3	4	11	5	0	1698	395	6609	943	1.047	10	1362	0.024
646	815	3	4	12	5	0	1701	396	6396	916	1.039	10	1362	0.016
638	71	3	1	11	6	0	1693	421	6879	923	0.903	10	1349	-0.12
648	71	3	1	12	6	0	1672	415	6707	912	0.885	10	1349	-0.138
627	70	3	1	10	6	0	1654	414	6824	931	0.898	10	1349	-0.125
165	576	1	3	14	6	0	1907	390	4671	742	0.953	10	1325	-0.07
